pid,bc,dir,yds,succ,kne
834109,AK-0050,RT,4,1,0
834111,LM-1850,RT,0,0,0
834114,AK-0050,RT,0,0,0
834115,TG-1950,RE,20,1,0
834116,TG-1950,LE,3,0,0
834118,TG-1950,RE,4,1,0
834131,AK-0050,MD,5,1,0
834133,AK-0050,LT,5,1,0
834135,AK-0050,MD,3,0,0
834137,TB-2650,LE,1,0,0
834141,TG-1950,LE,3,0,0
834147,TG-1950,MD,2,1,0
834149,TG-1950,MD,-1,0,0
834151,TG-1950,LE,4,1,0
834154,AK-0050,RE,4,1,0
834158,MB-3862,LE,12,1,0
834159,MB-3862,RT,2,0,0
834161,MB-3862,LT,2,1,0
834165,AK-0050,LE,12,1,0
834167,AK-0050,LE,2,0,0
834177,MB-3862,RG,8,1,0
834181,JG-1850,MD,1,1,0
834185,AK-0050,RG,6,0,0
834193,TG-1950,LT,0,0,0
834194,TG-1950,LT,9,1,0
834195,TG-1950,LT,6,1,0
834196,TG-1950,RE,1,0,0
834198,TG-1950,LG,2,0,0
834204,JG-1850,NL,-1,0,1
834205,JG-1850,NL,-1,0,1
834206,JG-1850,NL,-1,0,1
834208,DF-1875,RT,3,0,0
834210,DF-1875,LE,6,1,0
834212,DF-1875,LE,9,1,0
834213,IS-0250,LT,2,1,0
834215,DF-1875,RE,-6,0,0
834221,MS-0125,LT,0,0,0
834224,MS-0125,LT,4,0,0
834225,MS-0125,RE,4,0,0
834233,DF-1875,LG,-5,0,0
834238,JH-5575,LG,2,1,0
834239,JH-5575,LT,2,0,0
834242,DF-1875,LG,0,0,0
834246,MS-0125,RG,5,1,0
834247,JH-5575,LG,5,1,0
834248,CW-1425,LE,0,0,0
834252,JH-5575,LT,4,0,0
834259,DF-1875,RG,4,1,0
834269,DF-1875,LG,1,0,0
834279,JH-5575,RT,2,0,0
834292,MS-0125,LG,4,0,0
834300,IS-0250,LT,1,0,0
834304,JH-5575,LG,1,0,0
834306,MS-0125,RT,5,1,0
834313,MR-2500,RE,4,0,0
834314,IS-0250,LG,1,0,0
834316,MS-0125,RG,3,0,0
834318,MS-0125,RE,-2,0,0
834325,DF-1875,LT,2,1,0
834330,IS-0250,LT,28,1,0
834331,DF-1875,RG,4,1,0
834334,JH-5575,RG,-1,0,0
834337,DF-1875,RT,4,1,0
834345,MS-0125,LT,1,0,0
834348,JH-5575,RT,3,0,0
834352,MS-0125,RT,4,1,0
834353,CW-1425,RG,2,1,0
834354,CW-1425,RG,1,1,0
834377,MR-2500,NL,-1,0,1
834379,NC-0175,RG,8,1,0
834380,NC-0175,LT,4,1,0
834384,NC-0175,MD,-2,0,0
834386,NC-0175,MD,-1,0,0
834391,LB-0250,MD,5,1,0
834395,NC-0175,RG,2,0,0
834398,NC-0175,MD,1,0,0
834403,LB-0250,MD,4,1,0
834407,NC-0175,RT,7,1,0
834410,NC-0175,MD,5,0,0
834413,LB-0250,LG,2,0,0
834420,LB-0250,MD,4,0,0
834427,NC-0175,LT,19,1,0
834431,LB-0250,RT,8,1,0
834432,LB-0250,MD,-1,0,0
834433,TM-3150,MD,0,0,0
834436,LB-0250,MD,6,1,0
834437,LB-0250,MD,6,1,0
834438,LB-0250,RT,7,1,0
834439,LB-0250,RE,5,1,0
834440,LB-0250,MD,0,0,0
834443,TM-3150,MD,10,0,0
834446,NC-0175,RE,-2,0,0
834451,DJ-0887,LE,6,0,0
834454,LB-0250,MD,2,0,0
834457,LB-0250,MD,0,0,0
834467,LB-0250,MD,2,0,0
834471,NC-0175,LE,8,1,0
834477,LB-0250,MD,6,0,0
834480,NC-0175,MD,2,0,0
834486,LB-0250,RG,1,0,0
834490,LB-0250,MD,4,1,0
834496,LB-0250,LE,8,1,0
834497,LB-0250,LG,0,0,0
834501,NC-0175,LT,-2,0,0
834507,LB-0250,RG,-1,0,0
834510,NC-0175,LT,15,1,0
834511,NC-0175,MD,0,0,0
834514,NC-0175,RE,1,0,0
834519,LB-0250,RG,0,0,0
834523,NC-0175,LE,-5,0,0
834525,DJ-0887,RG,2,0,0
834528,DJ-0887,RT,0,0,0
834531,NC-0175,MD,2,0,0
834540,TM-3150,MD,15,1,0
