pid,fgxp,fkicker,dist,good
833257,FG,SG-0800,48,0
833273,XP,SG-0800,33,0
833298,FG,SG-0800,28,1
833315,XP,SG-0800,33,1
833333,XP,SG-0800,33,1
833339,XP,SG-0800,33,1
833361,XP,SG-0800,33,0
833382,XP,RG-1500,33,1
833393,XP,RB-4650,33,1
833403,XP,RG-1500,33,1
833421,FG,RB-4650,52,0
833428,XP,RG-1500,33,1
833439,FG,RB-4650,37,1
833467,FG,RG-1500,33,1
833477,XP,RG-1500,33,1
833494,FG,RG-1500,38,1
833506,XP,RG-1500,33,1
833521,FG,RG-1500,39,0
833542,XP,RB-4650,33,1
833585,XP,CB-2275,33,1
833600,XP,JM-7000,33,1
833618,FG,CB-2275,41,1
833630,FG,JM-7000,58,0
833645,XP,JM-7000,33,1
833653,FG,CB-2275,33,1
833662,XP,JM-7000,33,1
833687,XP,JM-7000,33,1
833697,XP,CB-2275,33,1
833723,FG,DC-0450,28,1
833739,XP,DC-0450,33,1
833756,XP,HB-0500,33,1
833780,XP,HB-0500,33,1
833794,XP,HB-0500,33,1
833801,XP,HB-0500,33,1
833888,FG,BM-1650,43,1
833912,FG,EP-0512,40,1
833931,FG,EP-0512,52,1
833983,XP,EP-0512,33,1
833995,FG,BM-1650,32,1
834044,FG,EP-0512,53,1
834059,FG,GZ-2000,24,1
834094,FG,WL-0300,34,1
834121,FG,GZ-2000,22,1
834138,FG,WL-0300,52,1
834152,XP,GZ-2000,33,1
834163,XP,GZ-2000,33,1
834175,FG,WL-0300,42,1
834182,XP,GZ-2000,33,1
834218,FG,MB-4600,50,1
834254,FG,JE-0250,34,1
834265,FG,MB-4600,50,0
834273,XP,MB-4600,33,1
834297,FG,JE-0250,41,1
834302,XP,MB-4600,33,1
834364,XP,MB-4600,33,1
834389,FG,AS-0575,23,1
834401,FG,AS-0575,48,1
834428,XP,AS-0575,33,1
834444,FG,SF-0050,46,1
834464,FG,AS-0575,43,1
834494,XP,AS-0575,33,1
