uid,gid,player,pa,pc,py,ints,tdp,ra,sra,ry,tdr,trg,rec,recy,tdrec,ret,rety,tdret,fuml,peny,conv,snp,fp,fp2,fp3,game,seas,year,team,posd,jnum,dcp
105490,5059,MS-0150,0,0,0,0,0,0,0,0,0,6,5,57,0,0,0,0,0,0,0,66,5.7,8.2,10.7,1,8,2019,ATL,RWR,12,1
105491,5059,CR-0862,0,0,0,0,0,0,0,0,0,6,4,64,1,0,0,0,0,5,0,61,12.4,14.4,16.4,1,2,2019,ATL,LWR,18,2
105492,5059,IS-0250,0,0,0,0,0,6,4,31,0,1,1,9,0,0,0,0,0,0,0,39,4,4.5,5,1,2,2019,ATL,RB,25,2
105493,5059,AH-3650,0,0,0,0,0,0,0,0,0,9,9,77,0,0,0,0,0,0,0,62,7.7,12.2,16.7,1,4,2019,ATL,TE,81,1
105494,5059,LS-1900,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22,0,0,0,1,9,2019,ATL,TE,80,2
105495,5060,JH-4085,0,0,0,0,0,7,4,27,0,0,0,0,0,1,9,0,0,0,0,23,2.7,2.7,2.7,1,1,2019,BAL,RB,43,3
105496,5060,MI-0100,0,0,0,0,0,14,9,107,2,0,0,0,0,0,0,0,0,0,0,25,22.7,22.7,25.7,1,9,2019,BAL,RB,21,1
105497,5060,LJ-0150,20,17,324,0,5,3,1,6,0,0,0,0,0,0,0,0,0,0,0,54,33.56,33.56,36.56,1,2,2019,BAL,QB,8,1
105498,5060,HH-0350,0,0,0,0,0,0,0,0,0,4,3,41,0,0,0,0,0,0,0,43,4.1,5.6,7.1,1,2,2019,BAL,TE,81,3
105499,5060,GE-0150,0,0,0,0,0,17,9,56,0,0,0,0,0,0,0,0,0,0,0,29,5.6,5.6,5.6,1,2,2019,BAL,RB,35,2
105500,5060,NB-0450,0,0,0,0,0,0,0,0,0,3,3,26,0,0,0,0,0,0,0,43,2.6,4.1,5.6,1,5,2019,BAL,TE,86,1
105501,5060,JG-2950,0,0,0,0,0,0,0,0,0,3,1,-3,0,4,59,0,1,5,0,30,-2.3,-1.8,-0.3,1,4,2019,MIA,RWR,19,1
105502,5060,RF-0500,29,14,185,1,1,1,1,8,0,0,0,0,0,0,0,0,0,0,0,45,10.2,11.2,11.2,1,15,2019,MIA,QB,14,1
105503,5060,PW-1150,0,0,0,0,0,0,0,0,0,5,3,24,1,0,0,0,0,0,0,21,8.4,9.9,11.4,1,1,2019,MIA,LWR,18,2
105504,5060,AW-1650,0,0,0,0,0,1,0,1,0,4,2,13,0,0,0,0,0,0,0,6,1.4,2.4,3.4,1,6,2019,MIA,SWR,15,1
