pid,punter,pgro,pnet,ptb,pr,pry,pfc
832600,RS-0150,59,50,0,AJ-0050,9,0
832636,BK-0700,41,41,0,,0,0
832645,BK-0700,37,37,0,CR-1525,0,1
832658,RS-0150,44,27,0,AJ-0050,17,0
832687,RS-0150,50,50,0,,0,0
832703,RS-0150,60,35,1,,0,0
832707,BK-0700,55,44,0,CR-1525,11,0
832718,BK-0700,45,45,0,CR-1525,0,0
832727,RS-0150,35,35,0,,0,0
832741,LC-0875,44,31,0,DC-1050,13,0
832745,TD-0075,48,48,0,DW-2275,0,1
832749,LC-0875,54,54,0,,0,0
832772,LC-0875,48,48,0,,0,0
832777,TD-0075,54,54,0,DW-2275,0,0
832781,LC-0875,48,48,0,DC-1050,0,1
832785,TD-0075,44,44,0,DW-2275,0,1
832817,TD-0075,35,35,0,DW-2275,0,1
832823,LC-0875,47,47,0,,0,0
832829,TD-0075,43,37,0,TE-0350,6,0
832836,LC-0875,47,47,0,,0,0
832846,TD-0075,39,39,0,TE-0350,0,0
832874,TD-0075,44,41,0,DW-2275,3,0
832897,TL-1062,55,50,0,JA-0425,5,0
832901,SM-0650,44,44,0,,0,0
832926,TL-1062,51,41,0,JA-0425,10,0
832935,SM-0650,42,42,0,DK-0687,0,1
832941,TL-1062,44,28,0,DA-0900,16,0
832957,TL-1062,52,41,0,DA-0900,11,0
832966,SM-0650,48,48,0,,0,0
832995,SM-0650,42,34,0,DK-0687,8,0
833093,BC-2000,40,40,0,TD-0737,0,0
833097,JS-1250,40,40,0,CB-1152,0,0
833101,BC-2000,48,48,0,TD-0737,0,1
833109,JS-1250,43,33,0,CB-1152,10,0
833130,JS-1250,44,44,0,,0,0
833137,BC-2000,41,41,0,TD-0737,0,1
833157,JS-1250,48,48,0,CB-1152,0,1
833167,BC-2000,44,44,0,,0,0
833172,JS-1250,47,47,0,CB-1152,0,0
833179,BC-2000,39,39,0,TD-0737,0,1
833184,JS-1250,59,44,0,CB-1152,15,0
833197,JS-1250,48,48,0,CB-1152,0,1
833201,BC-2000,52,52,0,TD-0737,0,0
833210,JS-1250,52,27,1,,0,0
833216,MH-0050,38,38,0,GO-0150,0,1
833238,MH-0050,36,36,0,GO-0150,0,1
833244,JB-0487,52,52,0,,0,0
833248,MH-0050,54,54,0,GO-0150,0,1
833261,MH-0050,21,21,0,,0,0
833278,MH-0050,54,51,0,GO-0150,3,0
833285,JB-0487,39,39,0,JG-2950,0,0
833303,MH-0050,48,42,0,GO-0150,6,0
833320,MH-0050,47,47,0,GO-0150,0,0
833327,JB-0487,53,48,0,JG-2950,5,0
833377,KH-2600,40,40,0,,0,0
833412,KH-2600,44,44,0,RJ-0450,0,1
833446,MW-3425,36,36,0,,0,0
833485,KH-2600,43,43,0,RJ-0450,0,1
833499,KH-2600,50,50,0,RJ-0450,0,0
833511,KH-2600,49,45,0,RJ-0450,4,0
833537,MW-3425,39,39,0,,0,0
833550,JB-3275,49,39,0,TL-1025,10,0
833555,MD-0325,52,27,1,,0,0
833559,JB-3275,52,52,0,TL-1025,0,0
833568,MD-0325,47,46,0,RS-3525,1,0
833576,JB-3275,38,38,0,TL-1025,0,1
833605,JB-3275,39,39,0,TL-1025,0,1
833609,MD-0325,47,36,0,DJ-1675,11,0
833635,MD-0325,59,59,0,,0,0
833694,JB-3275,46,46,0,,0,0
833731,DC-3200,31,31,0,DH-1800,0,1
833747,DC-3200,38,27,0,DH-1800,11,0
833751,AC-1837,37,30,0,DT-0850,7,0
833763,AC-1837,51,39,0,DT-0850,12,0
833787,AC-1837,41,28,0,DT-0850,13,0
833799,AC-1837,36,26,0,DT-0850,10,0
833817,DC-3200,32,32,0,JR-2075,0,1
833831,DC-3200,53,53,0,,0,0
833850,AC-1837,60,40,0,MH-0875,20,0
833854,DC-3200,42,43,0,JR-2075,-1,0
833865,AC-1837,39,38,0,DT-0850,1,0
833893,PO-0050,51,43,0,DS-3187,8,0
833898,CW-0050,35,35,0,TC-1975,0,1
833921,CW-0050,37,37,0,TC-1975,0,1
833943,CW-0050,32,32,0,TC-1975,0,1
833947,PO-0050,75,65,0,DS-3187,10,0
833951,CW-0050,52,45,0,TC-1975,7,0
833962,PO-0050,61,61,0,DS-3187,0,0
833972,CW-0050,44,19,1,,0,0
834000,PO-0050,49,49,0,DS-3187,0,1
834022,PO-0050,51,34,0,DS-3187,17,0
834065,TM-3300,46,46,0,JN-0350,0,1
834073,JH-3230,51,45,0,DH-1487,6,0
834082,TM-3300,48,38,0,JN-0350,10,0
834086,JH-3230,45,26,0,DH-1487,19,0
834127,JH-3230,37,37,0,,0,0
834157,TM-3300,45,13,0,JN-0350,32,0
834192,TM-3300,50,50,0,JN-0350,0,1
834199,JH-3230,66,57,0,DH-1487,9,0
