uid,pid,qb,sk,value,ydsl
25388,834339,MR-2500,AS-0600,1,-10
25389,834371,CW-1425,VB-0075,1,-4
25390,834392,TS-1450,MG-0287,1,-7
25391,834418,TS-1450,MB-5100,1,-10
25392,834423,BM-0650,TB-0625,1,-10
25393,834466,LF-0025,MG-0287,1,-9
25394,834472,BM-0650,NH-1225,1,-2
25395,834476,LF-0025,MG-0287,1,-6
25396,834532,BM-0650,BK-0150,0.5,-8
25397,834532,BM-0650,BC-0625,0.5,-8
