tid,gid,tname,pts,q1p,q2p,q3p,q4p,rfd,pfd,ifd,ry,ra,py,pa,pc,sk,ints,fum,pu,gpy,pr,pry,kr,kry,ir,iry,pen,top,td,tdr,tdp,tdt,fgm,fgat,fgy,rza,rzc,bry,bpy,srp,s1rp,s2rp,s3rp,spp,s1pp,s2pp,s3pp,lea,ley,lta,lty,lga,lgy,mda,mdy,rga,rgy,rta,rty,rea,rey,r1a,r1y,r2a,r2y,r3a,r3y,qba,qby,sla,sly,sma,smy,sra,sry,dla,dly,dma,dmy,dra,dry,wr1a,wr1y,wr3a,wr3y,tea,tey,rba,rby,sga,sgy,p1a,p1y,p2a,p2y,p3a,p3y,spc,mpc,lpc,q1ra,q1ry,q1pa,q1py,lcra,lcry,lcpa,lcpy,rzra,rzry,rzpa,rzpy,sky,lbs,dbs,sfpy,drv,npy,tb,i20,rtd,lnr,lnp,lbr,lbp,dbr,dbp,nha,s3a,s3c,l3a,l3c,stf,dp,fsp,ohp,pbep,dlp,dsp,dum,pfn,snpo,snpd,saf,blk,fp,back0p,back0py,back1p,back1py,back1r,back1ry,back2p,back2py,back2r,back2ry,back3r,back3ry,box4p,box4py,box5p,box5py,box6p,box6py,box6r,box6ry,box7p,box7py,box7r,box7ry,box8r,box8ry,pap,papy,npr,npry,qbp,qbpy,qbhi,qbhiy,qbhu,qbhuy,scrm,scrmy,ttscrm,ttpr,ttsk,pru3,pru3y,pru4,pru4y,pru5,pru5y,pru6,pru6y,blz0p,blz0py,blz1,blz1y,blz2,blz2y,dblz1,dblz1y,spru1,spru1y,oopdes,oopdesy,ooppr,ooppry,oopcl,oopcly,ytg1,ytg2,ytg3,pc1,pc2,pc3,tay1,tay2,tay3,dot1,dot2,dot3,yac1,yac2,yac3,cov0,cov0y,cov1,cov1y,cov2,cov2y,drp
10135,5068,DET,27,0,17,0,7,5,17,1,116,32,361,45,27,3,0,2,8,314,5,2,3,48,1,0,59,39.5,3,0,3,0,2,2,88,3,2,12,205,17,10,7,0,23,9,8,6,1,12,1,1,0,0,25,87,0,0,3,8,2,8,19,66,11,51,2,-1,3,22,13,115,5,52,11,80,3,24,3,44,6,70,26,202,2,24,10,146,3,13,51,357,15,137,14,124,17,100,3,15,9,8,27,9,61,9,42,14,72,3,4,3,9,24,5,0,397,15,296,0,3,0,6.5,0,7,9,9.5,22,4,5,3,11,2,8,0,2,6,1,0,2,2,1,88,89,0,0,7,12,55,31,243,14,69,3,63,17,41,0,0,10,53,6,39,12,52,5,26,15,187,12,56,15,34,9,187,24,263,24,108,11,27,10,36,0,0,0,0,8.8,2,-9,24,164,14,144,8,72,25,149,13,129,9,87,5,32,1,9,0,0,0,0,0,0,345,206,137,10,8,9,218,243,362,105,147,222,64,46,35,26,231,18,102,2,28,2
10136,5068,ARI,27,0,3,3,18,3,16,2,112,23,275,54,29,5,1,0,8,380,3,18,4,86,0,0,35,30.5,2,0,2,0,4,4,124,4,1,40,113,13,9,2,2,21,9,5,7,2,8,0,0,0,0,12,72,0,0,3,14,6,18,14,71,6,19,3,22,3,13,11,35,12,85,17,75,4,45,2,27,6,41,25,145,17,88,2,20,8,55,78,464,20,100,20,47,19,128,10,13,6,5,19,7,4,7,35,17,114,4,9,8,10,33,3,0,454,16,362,1,2,0,7,0,20,9.5,5,15.5,35,4,2,15,5,3,0,1,2,2,3,0,1,0,89,88,0,0,5,23,49,35,227,22,106,1,-1,1,6,0,0,5,15,27,175,20,66,15,72,7,19,2,6,1,12,7,25,43,276,16,-1,6,-29,6,0,0,0,0,0,24.8,12,73,43,199,3,4,1,-1,54,272,3,4,2,-1,2,0,4,6,0,0,0,0,0,0,335,191,180,13,6,10,314,342,370,162,220,167,19,15,23,23,56,33,213,3,6,0
10137,5069,NYG,17,7,0,3,7,8,16,1,151,17,319,48,33,1,0,2,4,166,2,7,2,46,0,0,70,27.5,2,1,1,0,1,1,28,4,2,109,87,12,6,4,2,27,19,6,2,1,6,2,26,1,7,9,66,1,11,2,11,1,5,9,49,5,66,3,17,2,11,11,80,13,81,14,75,3,22,0,0,4,65,12,82,8,74,16,124,9,43,44,362,24,229,14,53,11,37,9,19,5,5,57,8,52,0,0,0,0,6,13,7,18,4,0,0,211,10,166,0,2,0,6,0,9,4.5,12,15.5,10,4,1,5,0,2,0,1,3,1,1,2,1,0,69,68,0,0,-4,2,5,43,262,16,150,4,52,1,1,0,0,21,119,5,28,11,73,2,10,9,90,9,107,2,-1,16,99,36,267,14,57,6,1,6,22,0,0,0,0,5.1,2,5,39,289,9,35,1,1,39,283,10,36,0,0,4,35,1,0,0,0,0,0,0,0,314,133,76,20,8,4,335,197,104,141,84,41,117,23,17,27,160,17,130,4,29,0
10138,5069,DAL,35,7,14,14,0,4,18,1,89,30,405,32,25,0,0,0,4,165,0,0,1,0,0,0,47,32.5,5,1,4,0,0,0,0,2,2,10,240,11,7,3,1,23,8,10,5,3,3,6,33,2,3,4,12,1,2,10,35,2,3,17,54,8,26,3,11,2,14,10,99,8,88,8,61,2,57,3,98,1,0,21,331,1,8,7,54,3,10,31,415,11,109,14,174,7,120,3,14,8,6,18,12,98,0,0,0,0,3,16,3,23,0,0.5,0,236,10,158,0,2,0,3,1.5,4.5,11,8.5,19.5,10,0,0,5,3,5,0,0,3,1,0,0,1,1,68,69,0,0,6,2,13,28,386,27,91,2,6,1,0,2,-2,0,0,3,17,14,216,12,34,14,167,12,38,4,3,15,207,27,358,4,42,3,47,1,0,0,0,0,0,0,2,13,19,255,9,105,2,32,20,256,10,117,2,32,8,98,2,21,0,0,0,0,0,0,296,188,74,8,12,5,195,212,128,121,113,71,34,69,64,16,177,14,215,2,13,2
10139,5070,SF,31,3,3,14,11,6,7,4,98,32,158,27,18,1,1,1,2,91,0,0,0,0,3,57,87,30,3,0,1,2,3,4,112,3,0,53,70,11,8,2,1,12,3,5,4,6,32,1,4,2,3,11,28,2,1,5,26,3,6,18,85,8,14,4,1,0,0,3,19,11,77,10,31,2,39,0,0,1,0,4,14,8,65,10,54,5,33,25,146,7,37,12,82,9,39,7,8,3,4,17,5,35,8,25,5,17,2,8,5,0,8,0,0,294,10,91,0,1,0,7,3,8.5,8,8.5,9,2,3,2,8,2,11,15,1,3,1,3,3,0,1,68,70,0,0,27,6,58,17,68,12,20,5,32,18,80,2,-2,1,7,3,20,14,103,4,10,7,22,14,25,14,63,10,59,23,117,5,41,1,-8,0,0,0,0,0,0,1.7,3,7,12,92,10,53,3,6,15,99,10,53,3,6,3,-7,1,0,0,0,0,0,0,0,272,211,112,4,8,6,82,183,97,36,84,32,37,50,32,14,80,13,78,1,0,2
10140,5070,TB,17,0,7,7,3,7,10,4,121,26,174,36,20,3,3,1,2,42,1,0,3,60,1,15,87,30,2,0,1,1,1,1,31,4,1,52,28,14,9,4,1,13,4,5,4,1,5,3,26,1,0,17,78,3,13,0,0,0,0,16,81,8,36,1,5,4,14,10,67,6,33,11,50,3,0,2,44,1,0,11,81,5,10,7,40,10,63,29,174,13,29,14,73,12,72,7,8,5,9,34,10,22,5,32,5,6,5,8,8,27,20,1,0,315,11,42,0,1,0,6.5,2,10,7,12.5,8,3,2,1,7,2,6,7,1,3,1,0,4,0,0,70,68,0,0,12,4,15,33,159,21,120,2,0,4,2,1,-1,6,52,5,24,15,46,4,22,6,30,11,48,9,49,12,35,24,157,16,22,7,-11,7,25,0,0,0,0,11.7,0,0,35,170,6,13,1,5,33,161,6,13,1,5,4,13,1,0,0,0,0,0,0,0,297,188,102,4,10,6,242,167,133,143,44,63,12,41,40,21,96,15,78,3,0,2
10141,5071,PIT,3,0,0,3,0,1,11,3,32,13,276,47,27,1,1,0,5,228,0,0,2,43,0,0,54,27.5,0,0,0,0,1,1,19,1,0,0,115,7,3,4,0,17,6,7,4,2,1,1,2,2,4,3,8,1,4,2,10,2,3,6,17,5,19,2,-4,1,7,18,123,8,43,12,65,1,0,0,0,8,45,18,85,19,105,4,40,6,46,59,332,18,51,17,110,13,115,8,13,6,5,13,5,28,0,0,0,0,2,10,3,0,0,1,0,286,11,193,0,2,0,8.5,0,9,5,11.5,17,11,5,1,9,3,3,0,2,3,0,0,1,1,0,69,70,0,0,0,25,95,23,181,12,30,0,0,1,2,0,0,10,50,12,62,19,151,5,15,7,13,5,13,2,4,1,0,39,236,10,47,3,0,4,19,0,0,0,0,7.5,11,117,29,129,7,37,2,0,37,233,7,30,4,13,3,29,1,0,0,0,0,0,0,0,241,185,107,9,10,7,282,316,214,140,181,116,33,64,40,22,174,23,88,3,14,3
10142,5071,NE,33,7,13,10,3,8,15,1,99,29,366,37,25,1,0,0,3,123,2,35,2,35,1,0,55,32.5,3,0,3,0,4,4,140,3,0,22,225,12,3,7,2,22,15,2,5,3,7,2,5,2,3,9,26,6,29,2,1,5,28,13,39,13,47,3,13,0,0,15,128,6,46,10,50,0,0,3,66,3,83,15,178,5,95,2,3,15,97,33,327,19,212,8,64,11,90,8,7,10,9,37,8,103,0,0,0,0,5,11,6,24,7,0,0,278,10,123,0,1,0,2,2.5,7.5,4.5,3.5,20,7,1,1,8,2,7,0,0,3,0,1,3,0,0,70,69,0,0,10,13,101,11,179,12,53,14,86,17,46,0,0,5,34,10,79,16,195,11,67,5,18,11,7,4,10,13,154,22,263,16,103,5,13,6,4,0,0,0,0,5.1,0,0,29,259,9,107,0,0,29,259,9,107,0,0,5,69,1,24,0,0,0,0,0,0,345,159,100,17,3,5,241,133,192,108,69,94,113,17,41,19,204,17,93,2,69,1
10143,5072,HOU,28,0,14,7,7,8,12,2,180,23,234,30,20,6,1,0,4,172,0,0,1,12,1,2,69,30,4,1,3,0,0,0,0,2,2,133,150,14,10,2,2,14,4,4,6,2,34,7,32,7,24,1,1,2,27,0,0,4,62,13,111,8,30,2,39,4,40,11,46,8,47,3,25,1,38,3,112,3,0,16,180,4,36,3,17,6,35,42,482,14,139,10,39,12,56,7,6,7,5,32,8,63,4,54,11,84,2,9,4,36,34,1,0,161,9,152,0,2,0,2,1.5,10,3.5,8,25,0,3,3,11,5,7,0,3,3,1,0,0,2,0,67,66,0,0,2,5,35,31,199,19,149,0,0,4,31,0,0,3,22,2,9,24,211,17,123,7,-8,4,56,0,0,10,55,19,163,19,90,10,51,6,47,0,0,0,0,21.6,3,9,20,174,11,50,4,20,22,182,11,50,4,20,5,36,4,-11,0,0,0,0,0,0,277,182,122,7,5,8,285,106,167,193,28,98,7,48,23,21,59,14,175,1,0,3
10144,5072,NO,30,0,3,14,13,6,19,0,148,21,362,43,32,1,1,0,2,88,3,20,2,36,1,0,48,30,3,1,2,0,3,4,137,4,2,95,137,11,6,5,0,26,10,9,7,6,32,4,14,4,46,0,0,3,17,4,39,0,0,12,66,7,71,2,11,2,8,14,94,4,69,16,94,3,58,1,24,1,31,20,224,2,26,4,35,11,76,41,490,17,108,16,127,9,127,7,17,8,3,13,10,66,8,50,7,88,3,12,8,26,8,1,1,264,10,88,0,2,0,9,5,7.5,6,5.5,12,3,1,1,5,1,2,0,0,1,1,2,2,1,1,66,67,0,0,7,7,31,31,306,17,142,4,25,4,6,0,0,3,27,12,105,22,212,10,85,2,17,8,24,1,11,3,22,33,326,8,21,4,18,6,14,0,0,0,0,3.1,15,144,20,138,6,73,1,7,35,282,6,73,1,7,1,7,0,0,0,0,0,0,0,0,300,170,82,12,12,8,225,231,177,98,104,95,41,55,32,24,160,17,191,1,11,2
10145,5073,DEN,16,0,0,6,10,4,11,3,95,23,249,31,21,3,0,0,3,143,0,0,0,0,0,0,44,27,1,0,1,0,3,4,91,4,1,26,174,12,8,3,1,17,6,6,5,2,7,5,22,0,0,4,13,2,12,7,34,3,7,16,71,6,17,1,7,1,1,6,43,11,134,9,38,1,0,1,53,3,0,15,206,4,5,5,29,7,28,32,230,8,85,14,109,12,55,8,5,8,3,-1,4,59,0,0,0,0,6,18,9,14,19,0,0,174,8,136,0,1,0,7,1.5,11,5.5,7,14,9,3,2,6,2,6,0,1,3,1,0,0,0,2,64,58,0,0,0,6,66,26,161,22,95,2,22,0,0,0,0,4,18,9,73,14,148,7,8,4,12,10,42,1,5,4,7,23,199,11,50,5,14,1,0,0,0,0,0,12.5,1,3,28,208,5,38,0,0,27,216,7,33,0,0,4,17,2,27,0,0,0,0,0,0,238,130,85,7,8,6,119,199,140,65,99,71,35,44,33,18,102,15,129,1,18,1
10146,5073,OAK,24,7,7,0,10,8,11,0,98,28,259,26,22,0,0,0,3,134,1,7,2,101,0,0,62,33,3,2,1,0,1,1,29,4,3,24,120,13,7,3,3,17,5,5,7,1,-2,2,13,4,15,14,51,4,20,1,3,1,-1,14,48,8,28,5,23,1,3,7,40,11,108,3,19,2,25,3,67,0,0,7,105,8,36,10,90,1,28,22,157,9,90,8,53,9,116,4,13,5,6,22,11,99,5,18,4,67,9,27,3,20,0,0,0,232,8,114,1,1,0,11.5,4,4.5,5.5,7,13.5,1,5,5,3,2,4,0,3,2,0,2,2,0,0,58,64,0,0,4,4,20,19,175,15,43,3,64,12,56,1,-1,0,0,2,10,19,179,8,20,3,27,11,36,9,42,6,82,21,189,5,70,0,0,2,10,0,0,0,0,0,2,11,19,175,5,33,1,43,20,183,5,33,1,43,0,0,3,22,0,0,0,0,0,0,244,133,58,6,8,8,167,64,152,117,12,85,36,41,30,13,117,12,142,1,0,0
10147,5074,TB,20,3,7,7,3,6,9,1,100,31,189,25,16,3,0,0,6,295,3,21,0,0,0,0,66,34,2,1,1,0,2,3,72,2,1,53,129,11,8,3,0,11,4,5,2,2,-6,1,6,5,19,8,31,5,30,7,13,1,9,19,72,10,30,0,0,2,11,9,80,2,12,6,33,5,63,0,0,3,20,17,182,4,0,2,10,2,16,18,85,8,80,9,85,11,24,4,7,5,5,8,7,56,9,29,7,9,3,21,2,20,19,3,0,344,13,256,0,2,0,4.5,0,10,7,4.5,21,0,1,0,8,1,8,0,3,2,2,2,2,1,1,65,79,0,0,9,1,7,27,182,24,62,0,0,3,29,3,0,5,10,1,9,7,60,2,11,9,71,16,53,12,34,6,22,14,122,15,76,8,20,4,24,0,0,0,0,15.6,0,0,20,96,8,92,1,10,19,87,8,92,1,10,1,10,1,41,0,0,0,0,0,0,275,192,118,4,8,4,219,110,164,166,58,90,24,36,18,14,113,12,71,2,5,1
10148,5074,CAR,14,3,6,3,2,2,16,2,39,19,313,51,25,3,0,1,5,253,4,39,1,21,0,0,50,26,0,0,0,0,4,4,174,3,0,10,142,5,3,2,0,22,10,9,3,1,0,0,0,4,7,5,6,2,5,3,10,4,11,8,29,8,10,3,0,2,0,17,111,4,22,17,91,3,44,1,0,7,65,27,180,7,27,9,110,6,16,64,347,25,179,15,106,14,28,2,17,6,7,23,10,86,3,4,19,87,2,2,6,8,20,1.5,0,359,13,232,0,2,0,8,2,13.5,7,6.5,8,5,4,0,9,0,11,2,1,4,0,0,0,1,0,79,65,1,0,6,3,8,48,294,12,34,3,11,6,0,1,5,0,0,5,19,38,186,6,14,7,47,7,8,6,17,20,158,37,312,17,1,7,-20,10,0,0,0,0,0,8.6,0,0,23,134,19,107,12,72,22,110,20,131,12,72,9,85,0,0,0,0,0,0,0,0,330,216,125,10,10,5,493,218,174,297,113,70,53,30,16,23,129,31,184,0,0,2
10149,5075,ARI,17,3,3,3,8,2,12,1,20,11,329,40,25,3,0,0,5,267,1,0,4,59,0,0,70,22.5,1,1,0,0,3,3,64,4,1,0,230,4,3,1,0,19,8,8,3,0,0,0,0,2,5,2,1,4,6,1,4,2,4,7,18,3,2,1,0,3,4,13,60,9,30,8,55,0,0,1,21,6,183,26,263,5,44,3,27,3,15,52,351,15,108,16,147,11,74,7,10,8,5,14,9,60,0,0,6,1,3,5,9,45,20,1,0,200,10,222,0,1,0,7.5,1,12,7.5,11.5,14.5,41,2,1,8,2,4,0,2,1,0,1,0,2,1,60,79,0,0,2,9,64,29,212,10,17,4,53,1,3,0,0,4,37,14,59,16,176,5,7,8,57,0,0,1,1,8,112,28,243,15,93,8,57,8,95,0,0,0,0,6.9,1,0,19,181,19,144,4,11,20,181,18,113,5,42,7,68,2,5,0,0,0,0,0,0,205,167,95,9,10,5,206,201,196,83,87,97,60,92,15,21,174,18,129,3,26,1
10150,5075,BAL,23,7,10,0,6,9,16,1,182,33,258,37,24,2,0,0,3,129,3,45,2,46,0,0,62,37.5,2,0,2,0,3,3,112,4,1,134,140,15,8,5,2,18,7,6,5,5,77,0,0,9,30,8,38,7,24,0,0,2,15,20,103,6,57,5,24,14,122,6,28,12,69,7,41,3,0,4,46,3,88,16,97,1,5,13,127,5,43,69,625,13,106,16,45,10,107,7,11,6,7,52,10,101,12,54,9,67,4,16,2,11,14,1,1,287,10,129,0,3,0,3.5,1.5,3,7,3.5,17.5,1,2,1,10,5,5,0,0,5,4,0,1,0,0,79,60,0,0,4,11,131,26,120,13,60,2,7,13,86,6,17,4,44,7,55,10,56,6,33,12,54,8,49,17,81,18,122,31,216,11,64,2,-14,3,0,0,0,0,0,7.9,0,0,29,215,13,89,3,19,24,164,13,89,3,19,7,44,1,20,0,0,0,0,0,0,341,210,130,8,8,8,243,205,157,148,93,90,30,35,24,26,117,11,141,2,0,1
10151,5076,BUF,28,7,14,0,7,8,13,3,151,34,237,30,19,3,0,0,7,325,2,6,0,0,2,0,65,32.5,4,3,1,0,0,0,21,4,4,50,77,20,13,7,0,14,7,2,5,7,44,1,4,5,18,3,20,6,21,5,32,5,14,20,109,10,43,2,1,5,23,5,36,9,77,10,45,1,26,1,0,2,69,15,169,4,40,6,26,3,18,32,256,11,147,11,16,11,74,3,11,5,9,42,10,77,8,55,5,29,7,35,3,14,16,0,0,297,12,250,0,1,0,6,1.5,5,4.5,8,20,1,1,0,8,3,6,0,5,1,1,2,0,1,0,76,70,0,0,6,13,52,18,159,24,131,2,26,8,22,2,-2,2,17,4,0,14,85,10,72,11,135,9,57,15,22,10,89,20,198,14,44,4,-16,8,48,0,0,0,0,9.9,2,3,20,190,10,54,4,9,19,179,11,54,4,9,6,46,1,0,0,0,0,0,0,0,326,154,100,8,3,8,211,166,153,133,83,54,63,1,25,25,200,8,37,0,0,1
10152,5076,NYG,14,7,0,0,7,7,14,0,129,20,241,45,26,1,2,0,5,242,3,75,2,40,0,0,40,27.5,2,1,1,0,0,1,0,1,1,83,61,14,8,5,1,21,9,9,3,1,14,1,1,3,14,5,19,4,17,2,15,4,49,14,62,5,65,1,2,1,2,18,113,8,45,13,59,1,0,1,0,3,33,10,51,17,115,9,56,8,28,44,271,16,131,17,97,13,13,6,17,3,7,81,4,0,0,0,0,0,2,4,3,13,9,1,0,342,12,236,0,1,0,10.5,3,10,3,8.5,15,4,3,2,8,1,1,0,1,1,1,1,2,1,0,70,76,0,0,2,2,8,40,213,18,123,4,20,2,6,0,0,7,23,4,28,25,131,5,35,8,45,9,37,6,57,9,54,36,217,10,24,3,-9,8,33,0,0,0,0,2.9,0,0,34,180,10,61,2,0,34,180,10,61,2,0,5,45,2,9,0,0,0,0,0,0,301,153,82,11,11,3,270,223,189,142,95,115,43,41,1,22,150,22,82,2,9,2
10153,5077,DAL,31,0,14,7,10,11,12,2,213,34,261,30,26,1,1,0,2,101,2,4,1,11,0,0,67,33.5,4,1,3,0,1,1,25,4,3,133,73,22,8,9,5,19,7,10,2,4,60,0,0,5,12,11,70,6,17,2,15,5,38,18,59,10,66,5,87,4,68,7,36,8,70,10,72,2,22,3,69,0,0,19,136,3,74,5,47,3,12,35,340,10,78,15,156,6,27,7,13,6,3,20,6,19,0,0,2,8,7,20,6,22,8,0,0,174,9,92,0,0,0,3,2.5,8,7,4,15.5,6,5,4,2,1,3,0,1,3,0,2,1,2,1,70,62,0,0,1,1,4,27,241,29,175,3,16,4,39,1,-1,0,0,5,39,20,164,14,126,4,24,11,31,8,41,12,126,25,236,6,25,2,-9,2,-1,0,0,0,0,4.1,3,76,23,146,6,54,0,0,25,207,6,54,0,0,0,0,0,0,0,0,0,0,0,0,285,155,47,10,13,3,117,273,78,41,170,41,37,42,13,18,135,12,114,1,12,2
10154,5077,WAS,21,0,7,7,7,4,12,3,47,17,208,37,26,1,0,0,4,198,1,9,1,20,1,23,44,26.5,3,1,2,0,0,0,0,3,3,10,47,7,3,4,0,22,8,10,4,5,26,2,6,2,8,1,1,0,0,2,1,4,6,10,28,6,20,0,0,0,0,8,45,14,94,11,35,1,0,3,47,0,0,19,114,1,3,5,40,12,64,37,183,13,82,13,92,12,34,9,13,4,7,26,9,55,0,0,0,0,5,10,11,47,13,1,0,276,9,194,0,4,0,4.5,1.5,11.5,9,16,13.5,6,1,1,4,1,3,0,1,3,0,1,2,1,0,62,70,0,0,2,5,28,33,180,14,47,0,0,2,1,1,-1,13,106,13,28,9,47,3,10,3,27,4,9,3,-3,5,34,28,190,10,18,3,2,5,4,0,0,0,0,3.4,1,9,34,177,3,22,0,0,34,179,4,29,0,0,2,16,1,9,0,0,0,0,0,0,246,146,58,9,10,5,178,203,98,81,107,20,45,27,27,22,134,14,74,2,0,1
10155,5078,IND,19,7,6,0,6,11,8,2,167,34,121,28,17,3,1,1,5,248,4,42,2,38,0,0,65,32,3,0,3,0,0,0,0,3,3,80,0,16,5,6,5,14,7,4,3,6,28,0,0,8,22,12,43,2,40,1,5,4,15,13,80,13,49,7,24,6,26,10,55,5,15,9,57,2,19,0,0,0,0,6,43,6,36,8,46,6,21,39,210,13,48,9,33,8,58,7,8,2,3,12,7,33,9,53,5,12,2,5,3,19,25,1,0,318,12,202,1,1,0,9,3,5,5,9,11,5,4,4,10,4,10,0,2,4,1,0,2,0,0,72,60,0,0,5,2,10,27,108,32,167,1,3,1,1,1,-1,3,26,8,63,10,15,14,45,6,10,13,83,4,19,11,35,24,142,9,-7,3,-7,2,4,0,0,0,0,13.2,3,-18,25,132,5,28,1,0,23,83,9,57,1,0,6,42,1,4,0,0,0,0,0,0,276,186,107,8,5,4,117,139,89,26,56,36,47,13,49,22,117,8,4,0,0,2
10156,5078,TEN,17,0,7,10,0,9,7,2,123,24,119,28,19,4,0,0,6,288,2,26,1,26,1,0,75,28,2,1,1,0,1,2,49,2,2,68,25,12,7,5,0,12,6,5,1,0,0,3,9,1,2,5,30,5,41,5,22,5,19,14,65,9,51,1,7,5,32,8,44,7,64,10,46,0,0,1,0,0,0,9,61,6,36,6,39,4,17,31,176,11,53,10,46,9,20,6,10,3,6,22,9,67,8,27,9,25,2,1,3,5,35,1,0,347,11,246,0,1,0,8,1.5,13.5,6,11.5,7.5,10,2,1,6,0,5,0,0,1,2,1,2,0,0,60,72,0,0,8,3,16,21,89,16,66,6,14,7,50,0,0,5,12,6,19,8,37,8,49,10,50,10,41,5,26,11,66,20,106,11,20,5,-30,2,17,0,0,0,0,15.7,3,8,27,140,3,-4,0,0,28,126,3,-4,0,0,2,-7,0,0,0,0,0,0,0,0,232,149,92,7,7,5,136,92,103,65,30,58,28,29,12,25,92,3,15,2,12,3
10157,5079,JAC,12,0,3,0,9,5,10,1,103,21,178,33,23,4,0,1,6,288,4,9,1,20,0,0,70,30,1,0,1,0,2,2,72,2,1,63,51,9,2,4,3,15,8,5,2,2,11,3,4,2,7,7,31,4,7,0,0,3,43,10,21,6,34,5,48,6,56,10,81,2,12,17,89,2,0,0,0,2,31,5,3,14,128,8,42,6,40,44,301,14,67,13,48,10,63,7,13,3,6,31,6,-4,5,27,10,27,1,4,3,10,35,1,2,260,10,283,0,5,0,8.5,1,11,4.5,8.5,13.5,0,2,1,9,3,3,0,2,4,1,0,1,0,1,67,66,0,0,8,1,3,34,193,17,96,2,-18,2,2,0,0,3,13,5,29,16,109,6,28,12,21,6,13,5,13,2,14,20,149,20,72,7,-9,7,16,0,0,0,0,11.3,1,4,23,153,15,80,2,-8,18,100,17,86,2,-8,10,53,0,0,0,0,0,0,0,0,265,169,119,8,9,6,168,119,157,80,32,94,47,41,19,26,116,11,62,0,0,1
10158,5079,HOU,13,3,3,0,7,7,9,1,126,30,137,29,16,4,0,0,7,307,1,5,0,0,0,0,47,30,1,1,0,0,2,2,61,2,1,33,59,17,7,7,3,12,5,3,4,1,-4,2,12,7,49,10,34,4,19,5,11,1,5,13,48,11,48,6,30,4,5,5,16,5,56,9,28,3,0,0,0,7,59,19,87,3,38,6,34,1,0,46,294,13,69,10,38,10,36,4,9,3,6,36,11,39,8,9,5,18,3,11,2,0,22,3,0,295,11,298,0,1,0,7,1,9,7.5,5,15.5,0,6,5,7,1,5,0,2,1,1,0,1,1,2,66,67,0,0,10,3,11,27,132,24,100,3,-6,5,27,1,-1,0,0,4,47,16,60,3,18,11,30,17,59,5,13,10,36,16,99,17,42,8,25,8,59,0,0,0,0,16.9,1,6,18,67,13,52,2,16,18,69,13,52,2,16,7,46,5,-4,0,0,0,0,0,0,259,158,129,6,4,6,220,225,141,115,152,74,6,10,10,15,43,18,94,0,0,2
10159,5080,LAC,10,7,3,0,0,6,13,2,137,25,287,36,21,1,1,1,4,202,1,0,2,47,2,0,70,31.5,1,1,0,0,1,3,39,3,1,77,158,13,8,3,2,16,6,6,4,4,25,4,23,0,0,6,21,0,0,5,12,6,56,15,87,8,37,2,13,1,12,7,28,6,0,11,80,5,70,2,46,4,69,20,181,4,28,2,9,9,75,41,409,13,100,13,143,11,44,6,7,8,6,15,9,57,7,32,11,80,5,3,3,10,6,0,0,220,10,185,0,2,0,12,0,11,7,4,13,1,2,1,6,2,4,0,1,2,3,2,1,2,1,67,61,0,0,8,3,45,32,239,24,135,2,3,1,2,0,0,3,0,6,61,19,151,11,101,8,75,9,21,4,3,15,126,26,255,12,44,4,12,6,24,0,0,0,0,3.5,17,115,15,144,4,40,2,0,31,247,3,29,3,11,2,0,4,57,0,0,0,0,0,0,269,154,77,8,9,4,236,266,208,121,138,109,54,47,0,15,91,20,196,2,0,5
10160,5080,DET,13,6,0,0,7,6,12,1,94,28,245,30,22,0,2,0,4,176,4,17,0,0,1,0,71,28.5,2,0,2,0,0,1,0,0,0,17,118,14,8,5,1,17,7,6,4,1,-2,5,22,0,0,10,52,0,0,7,12,4,11,14,67,10,19,3,9,3,14,9,48,4,28,11,87,1,0,0,0,5,82,17,160,0,0,8,32,5,53,31,273,13,85,9,108,8,52,5,13,4,8,31,6,60,5,12,6,68,0,0,0,0,0,0,0,207,10,176,0,2,0,4.5,1,9,4.5,9.5,14.5,1,3,1,6,3,5,0,2,6,0,0,3,0,0,61,67,0,0,9,2,11,25,213,22,76,3,21,5,19,1,-1,2,6,7,41,13,147,8,21,5,34,14,48,2,2,11,61,25,232,7,22,1,6,4,6,0,0,0,0,0,0,0,24,211,7,43,1,0,23,210,6,35,2,8,3,17,2,9,0,0,0,0,0,0,300,122,54,9,8,4,278,129,121,172,61,55,20,53,7,15,122,13,119,2,4,1
10161,5081,MIN,16,0,10,6,0,8,6,1,198,27,223,32,14,1,2,2,6,264,4,25,0,0,0,0,100,26,2,1,1,0,1,2,31,2,0,120,156,15,6,8,1,10,5,2,3,7,47,3,48,2,16,3,19,1,2,4,16,7,15,15,54,11,98,1,11,2,17,4,17,8,71,11,42,1,20,1,45,5,30,15,120,2,60,7,8,6,37,18,192,13,102,8,19,12,97,4,6,4,6,27,5,26,10,63,8,31,1,0,3,0,7,0,0,430,15,264,0,1,0,12,4,13.5,3,5.5,15,0,1,0,10,2,5,0,0,6,0,0,1,3,0,65,74,0,0,6,4,5,22,188,10,40,7,26,16,147,0,0,3,19,5,80,10,82,9,49,7,26,11,58,3,80,10,29,12,78,23,158,6,54,13,66,0,0,0,0,3.3,4,43,22,129,8,71,1,-7,22,144,8,37,3,38,2,11,1,0,0,0,0,0,0,0,311,186,113,7,2,5,155,122,295,40,48,202,80,17,19,20,144,9,30,4,45,1
