uid,pid,ptm,pen,desc,cat,pey,act
75730,833308,NE,JG-2450,Offensive Pass Interference,2,10,A
75731,833312,NE,KC-2650,False Start,1,4,A
75732,833313,MIA,ER-0475,Defensive Pass Interference,5,4,A
75733,833322,MIA,ER-0475,Defensive Holding,5,5,A
75734,833325,NE,RI-0500,Offensive Pass Interference,2,10,A
75735,833326,NE,MN-0400,Offensive Holding,2,0,D
75736,833327,NE,MS-2100,Unsportsmanlike Conduct,6,15,A
75737,833342,NE,DM-1300,Lowering the Head to Initiate Contact,8,15,A
75738,833373,CIN,LR-0350,Offensive Holding,2,10,A
75739,833387,SF,KW-1550,Defensive Holding,5,0,D
75740,833406,SF,ST-0525,Roughing the Passer,6,15,A
75741,833408,CIN,AS-2000,Offensive Holding,2,10,A
75742,833410,CIN,AS-2000,False Start,1,5,A
75743,833413,SF,MM-2565,False Start,1,5,A
75744,833415,SF,JG-0650,False Start,1,5,A
75745,833417,CIN,MJ-2562,Offensive Holding,2,10,A
75746,833420,CIN,AD-0100,Illegal Forward Pass,3,5,A
75747,833430,SF,AW-1850,Delay of Game,3,5,A
75748,833444,SF,MP-0900,Offensive Holding,2,10,A
75749,833444,SF,LT-0650,Offensive Holding,2,0,D
75750,833456,SF,NB-0350,Defensive Offside,4,5,A
75751,833457,CIN,BH-0750,Offensive Holding,2,0,D
75752,833471,SF,JS-5700,Offensive Holding,2,10,A
75753,833489,SF,MP-0900,Offensive Holding,2,10,A
75754,833507,CIN,GP-0425,Offensive Holding,2,0,D
75755,833507,CIN,CF-0337,Illegal Block Above the Waist,7,10,A
75756,833531,CIN,BP-1250,Offensive Holding,2,10,A
75757,833534,SF,KJ-1400,Offensive Holding,2,10,A
75758,833560,SEA,JB-6750,Illegal Block Above the Waist,7,10,A
75759,833562,SEA,GI-0100,Offensive Holding,2,10,A
75760,833569,PIT,ZB-0050,Offensive Holding,2,6,A
75761,833578,SEA,GI-0100,Offensive Holding,2,0,O
75762,833578,PIT,TA-0600,Illegal Use of Hands,5,0,O
75763,833578,SEA,MI-0200,Offensive Holding,2,0,O
75764,833579,PIT,SD-0250,Illegal Block Above the Waist,7,10,A
75765,833581,SEA,JC-3350,Neutral Zone,4,5,A
75766,833583,SEA,MK-0730,Defensive Pass Interference,5,16,A
75767,833598,PIT,DM-1475,Unnecessary Roughness,6,14,A
75768,833607,SEA,DF-1250,Offensive Holding,2,0,D
75769,833610,SEA,BM-1250,Defensive Holding,5,5,A
75770,833616,PIT,VM-0250,Offensive Pass Interference,2,10,A
75771,833620,SEA,JB-6750,Illegal Block Above the Waist,7,7,A
75772,833628,SEA,DM-2275,Face Mask,6,15,A
75773,833628,SEA,DM-2275,Offensive Pass Interference,2,0,D
75774,833680,SEA,GI-0100,False Start,1,5,A
75775,833681,SEA,DF-1250,Offensive Holding,2,10,A
75776,833683,PIT,TE-0006,Defensive Pass Interference,5,38,A
75777,833705,SEA,EP-0575,Offensive Holding,2,10,A
75778,833719,KC,CJ-2168,Defensive Holding,5,5,A
75779,833727,OAK,LJ-1800,Defensive Holding,5,5,A
75780,833735,KC,TM-0850,Defensive Pass Interference,5,43,A
75781,833752,OAK,MC-3050,Roughing the Passer,6,15,A
75782,833761,OAK,HR-0062,False Start,1,5,A
75783,833763,KC,DS-3162,Offensive Holding,2,5,A
75784,833768,OAK,CF-0362,Neutral Zone,4,5,A
75785,833778,KC,AR-0625,Offensive Holding,2,10,A
75786,833785,OAK,TB-3250,False Start,1,5,A
75787,833787,KC,DO-0012,Illegal Block Above the Waist,7,6,A
75788,833792,KC,CE-0650,Illegal Block Above the Waist,7,10,A
75789,833817,KC,DT-0850,Illegal Shift,3,5,A
75790,833829,KC,LM-1000,Offensive Holding,2,10,A
75791,833837,OAK,RG-1650,Offensive Pass Interference,2,0,D
75792,833842,OAK,LJ-1800,Defensive Pass Interference,5,12,A
75793,833848,OAK,HR-0062,Offensive Pass Interference,2,0,D
75794,833849,OAK,RG-1650,False Start,1,5,A
75795,833865,KC,JL-3075,Offensive Holding,2,10,A
75796,833869,KC,BP-1375,Offensive Holding,2,10,A
75797,833874,KC,TK-0150,Illegal Formation,3,0,O
75798,833874,OAK,AK-0337,Defensive Offside,4,0,O
75799,833894,CHI,LF-0450,Unnecessary Roughness,6,15,A
75800,833899,DEN,DW-4250,Defensive Holding,5,5,A
75801,833934,DEN,GB-0650,Offensive Holding,2,10,A
75802,833936,CHI,PA-0300,Defensive Pass Interference,5,9,A
75803,833939,DEN,GB-0650,Offensive Holding,2,10,A
75804,833949,DEN,GB-0650,Offensive Holding,2,0,D
75805,833955,CHI,CL-0862,Illegal Use of Hands,2,10,A
75806,833957,DEN,DW-4250,Defensive Holding,5,5,A
75807,833958,CHI,CL-0862,Offensive Holding,2,10,A
75808,833962,DEN,TM-0350,Offensive Holding,2,10,A
75809,833971,DEN,GB-0650,Offensive Holding,2,0,D
75810,833979,DEN,CH-1500,Defensive Holding,5,1,A
75811,833990,DEN,RL-0350,Offensive Holding,2,10,A
75812,833991,CHI,EG-0350,Roughing the Passer,6,15,A
75813,834005,CHI,PA-0300,Illegal Use of Hands,5,0,D
75814,834012,DEN,RL-0350,Offensive Holding,2,10,A
75815,834034,DEN,,Delay of Game,3,5,A
75816,834035,CHI,BS-2300,Defensive Offside,4,1,A
75817,834038,DEN,BC-1125,Roughing the Passer,6,15,A
75818,834042,CHI,,Offensive Too Many Men on Field,8,5,A
75819,834055,NO,DO-0250,Neutral Zone,4,4,A
75820,834056,LA,BA-0575,Ineligible Downfield Pass,3,5,A
75821,834070,LA,RH-1250,Offensive Holding,2,10,A
75822,834076,LA,JJ-3450,Illegal Contact,5,5,A
75823,834078,NO,EM-0750,Offensive Holding,2,10,A
75824,834079,NO,JC-4300,Illegal Block Above the Waist,7,10,A
75825,834080,NO,LM-1850,Unnecessary Roughness,6,0,D
75826,834089,NO,AP-0450,False Start,1,5,A
75827,834103,NO,EA-0575,Defensive Pass Interference,5,8,A
75828,834104,LA,JN-2000,Illegal Block Above the Waist,7,10,A
75829,834110,LA,SJ-0793,Face Mask,6,15,A
75830,834129,NO,MT-0875,False Start,1,5,A
75831,834144,LA,RW-4050,False Start,1,5,A
75832,834145,LA,AW-1100,False Start,1,5,A
75833,834150,NO,EA-0575,Illegal Contact,5,5,A
75834,834156,NO,LW-0350,Offensive Holding,2,0,D
75835,834166,NO,WC-0125,Offensive Holding,2,10,A
75836,834171,NO,RR-0122,Offensive Holding,2,10,A
75837,834178,LA,RH-1250,Offensive Holding,2,10,A
75838,834184,NO,TA-0850,Offensive Holding,2,10,A
75839,834190,NO,TB-2650,Intentional Grounding,3,10,A
75840,834202,NO,MT-0875,Offensive Pass Interference,2,0,D
75841,834222,ATL,IO-0150,Defensive Holding,5,5,A
75842,834223,PHI,IS-0125,False Start,1,5,A
75843,834228,ATL,AM-0100,False Start,1,0,A
75844,834235,ATL,RG-0025,False Start,1,5,A
75845,834256,ATL,JB-6725,Offensive Holding,2,10,A
75846,834266,ATL,IO-0150,Offensive Holding,2,10,A
75847,834270,ATL,JM-1450,False Start,1,5,A
75848,834276,PHI,JP-2400,Offensive Holding,2,10,A
75849,834276,PHI,LJ-0850,Offensive Holding,2,0,D
75850,834277,ATL,KS-0750,Defensive Holding,5,5,A
75851,834284,ATL,BW-2900,Offensive Holding,2,5,A
75852,834296,PHI,HV-0100,Offensive Holding,2,10,A
75853,834296,PHI,HV-0100,Illegal Formation,3,0,D
75854,834307,PHI,IS-0125,Offensive Holding,2,10,A
75855,834311,ATL,JH-1350,Offensive Holding,2,9,A
75856,834312,ATL,TS-0150,Offensive Holding,2,4,A
75857,834332,PHI,DB-0875,Unnecessary Roughness,6,10,A
75858,834342,PHI,IS-0125,Offensive Holding,2,10,A
75859,834354,ATL,TM-2250,Defensive Offside,4,0,D
75860,834359,PHI,HR-0100,Encroachment,4,5,A
75861,834383,NYJ,BP-1050,Defensive Holding,5,0,D
75862,834397,NYJ,JA-0150,Roughing the Passer,6,15,A
75863,834406,CLE,CT-0937,Illegal Block Above the Waist,7,10,A
75864,834412,NYJ,SM-2200,Offensive Holding,2,8,A
75865,834415,CLE,MG-0287,Roughing the Passer,6,15,A
75866,834415,CLE,MG-0287,Defensive Offside,4,0,D
75867,834416,NYJ,KB-0750,Offensive Holding,2,10,A
75868,834419,NYJ,,Delay of Game,3,4,A
75869,834426,NYJ,NH-0075,Defensive Holding,5,5,A
75870,834430,CLE,EM-2100,Defensive Offside,4,5,A
75871,834434,NYJ,BS-1750,False Start,1,5,A
75872,834435,CLE,MG-0287,Roughing the Passer,6,15,A
75873,834441,NYJ,KB-0750,Offensive Holding,2,10,A
75874,834452,CLE,,Delay of Game,3,0,D
75875,834456,NYJ,,Delay of Game,3,5,A
75876,834460,CLE,GR-0450,Offensive Holding,2,10,A
75877,834473,CLE,,Delay of Game,3,0,D
75878,834475,NYJ,RK-0100,False Start,1,5,A
75879,834482,CLE,,Delay of Game,3,5,A
75880,834509,NYJ,KB-0750,Illegal Use of Hands,2,0,D
75881,834513,CLE,,Illegal Shift,3,5,A
75882,834520,CLE,MG-0287,Defensive Offside,4,5,A
75883,834526,NYJ,JA-0150,Defensive Offside,4,5,A
75884,834527,NYJ,JA-0150,Encroachment,4,5,A
75885,834533,CLE,,Delay of Game,3,0,D
75886,834539,CLE,MW-3150,Lowering the Head to Initiate Contact,8,15,A
