uid,pid,ptm,pen,desc,cat,pey,act
75372,830045,KC,AH-3350,Defensive Offside,4,0,D
75373,830045,KC,AH-3350,Lowering the Head to Initiate Contact,8,15,A
75374,830072,LA,,Delay of Game,3,0,D
75375,830089,CAR,,Delay of Game,3,5,A
75376,830094,CAR,KS-0850,Defensive Offside,4,0,D
75377,830094,CAR,KS-0850,Defensive Too Many Men on Field,8,0,D
75378,830100,CAR,CM-0175,Offensive Holding,2,10,A
75379,830110,CAR,,Delay of Game,3,5,A
75380,830111,LA,SE-0025,Unnecessary Roughness,6,3,A
75381,830146,LA,GE-0400,Offensive Holding,2,10,A
75382,830164,CAR,DJ-0575,Defensive Pass Interference,5,16,A
75383,830167,CAR,GM-0500,Defensive Offside,4,5,A
75384,830177,LA,NP-0075,Offside on Free Kick,3,5,A
75385,830180,CAR,TM-3350,Offensive Holding,2,0,O
75386,830180,LA,MC-1325,Lowering the Head to Initiate Contact,8,0,O
75387,830188,CAR,EO-0050,Neutral Zone,4,5,A
75388,830191,LA,RH-1250,Offensive Holding,2,10,A
75389,830216,LA,MP-0950,Taunting,6,15,A
75390,830242,CLE,GR-0450,Illegal Blindside Block,8,15,A
75391,830248,CLE,JW-2675,Roughing the Passer,6,15,A
75392,830257,TEN,MB-5250,Defensive Holding,5,5,A
75393,830264,TEN,JC-4050,False Start,1,5,A
75394,830265,TEN,JC-4050,Offensive Holding,2,0,D
75395,830274,CLE,MG-0287,Unnecessary Roughness,6,15,A
75396,830278,CLE,DR-0450,Defensive Holding,5,5,A
75397,830282,CLE,SR-0670,Roughing the Passer,6,15,A
75398,830282,CLE,DW-0850,Defensive Holding,5,0,D
75399,830285,CLE,SR-0670,Neutral Zone,4,5,A
75400,830302,CLE,GR-0450,Disqualification,6,15,A
75401,830307,TEN,DK-0430,Offensive Holding,2,0,D
75402,830310,CLE,CH-4550,False Start,1,1,A
75403,830321,CLE,OB-0075,Offensive Pass Interference,2,10,A
75404,830335,CLE,CH-4550,Offensive Holding,2,10,A
75405,830342,TEN,,Delay of Game,3,5,A
75406,830343,CLE,GW-1350,Offensive Holding,2,10,A
75407,830343,CLE,TT-0950,Illegal Use of Hands,5,0,D
75408,830344,CLE,JM-2950,False Start,1,5,A
75409,830345,CLE,DH-1450,Offensive Holding,2,10,A
75410,830361,CLE,DH-1450,Offensive Holding,2,10,A
75411,830366,CLE,DW-0850,Defensive Holding,5,5,A
75412,830381,TEN,KB-2850,Defensive Pass Interference,5,16,A
75413,830382,CLE,CH-4550,Offensive Holding,2,10,A
75414,830390,TEN,DH-2450,Face Mask,6,15,A
75415,830395,CLE,DL-0487,Unsportsmanlike Conduct,6,15,A
75416,830416,PHI,DJ-0200,Unnecessary Roughness,6,15,A
75417,830418,WAS,TV-0050,Illegal Block Above the Waist,7,10,A
75418,830423,WAS,MM-5450,Offensive Holding,2,10,A
75419,830436,WAS,RA-1175,Neutral Zone,4,5,A
75420,830453,WAS,TQ-0100,Offensive Holding,2,7,A
75421,830468,WAS,CH-3475,Offensive Holding,2,9,A
75422,830480,WAS,,Delay of Game,3,5,A
75423,830483,PHI,DB-0875,Defensive Offside,4,5,A
75424,830501,WAS,MM-5450,False Start,1,5,A
75425,830512,WAS,DP-1100,Offensive Holding,2,0,D
75426,830526,WAS,DP-1100,Chop Block,7,15,A
75427,830526,WAS,MM-5450,Offensive Holding,2,0,D
75428,830528,WAS,DP-1100,False Start,1,5,A
75429,830537,PHI,HV-0100,Offensive Holding,2,10,A
75430,830543,PHI,JA-1975,Offensive Holding,2,10,A
75431,830548,PHI,HV-0100,Offensive Holding,2,10,A
75432,830554,WAS,EF-0075,Offensive Holding,2,10,A
75433,830559,WAS,EF-0075,Offensive Holding,2,10,A
75434,830569,PHI,DB-0875,Defensive Offside,4,4,A
75435,830572,WAS,CM-2125,Offside on Free Kick,3,5,A
75436,830587,CIN,DS-0050,Offensive Holding,2,10,A
75437,830592,SEA,CB-0750,Running Into the Kicker,6,5,A
75438,830600,CIN,,Delay of Game,3,5,A
75439,830607,CIN,GP-0425,Illegal Block Above the Waist,7,0,D
75440,830607,CIN,SP-0825,Illegal Block Above the Waist,7,0,D
75441,830613,SEA,UA-0100,False Start,1,5,A
75442,830615,CIN,,Illegal Formation,3,5,A
75443,830622,SEA,WD-0550,False Start,1,5,A
75444,830627,CIN,BW-0770,Defensive Pass Interference,5,4,A
75445,830638,SEA,DM-2275,Offensive Pass Interference,2,0,D
75446,830645,CIN,DK-0750,Unnecessary Roughness,6,15,A
75447,830666,SEA,DM-2275,Offensive Holding,2,0,D
75448,830678,CIN,CC-0775,Offensive Holding,2,8,A
75449,830691,SEA,GI-0100,Offensive Holding,2,10,A
75450,830697,SEA,JC-3350,Neutral Zone,4,5,A
75451,830701,SEA,TF-0725,Illegal Contact,5,5,A
75452,830706,SEA,TF-0725,Defensive Pass Interference,5,15,A
75453,830708,CIN,AS-2000,Offensive Holding,2,10,A
75454,830729,SEA,,Delay of Game,3,5,A
75455,830755,IND,DA-2050,Unnecessary Roughness,6,2,A
75456,830781,LAC,TS-0850,Illegal Formation,3,5,A
75457,830817,IND,JH-5500,Defensive Offside,4,5,A
75458,830848,LAC,HH-0225,Offensive Holding,2,10,A
75459,830874,LAC,ST-0375,False Start,1,5,A
75460,830875,IND,QW-0300,Defensive Pass Interference,5,3,A
75461,830896,ARI,JS-7450,Offensive Holding,2,5,A
75462,830929,ARI,DH-4550,Offensive Holding,2,0,D
75463,830939,DET,DV-0525,Offensive Holding,2,5,A
75464,830948,ARI,ZA-0150,Neutral Zone,4,5,A
75465,830949,ARI,TS-3500,Defensive Offside,4,5,A
75466,830959,DET,JC-3518,Illegal Block Above the Waist,7,0,D
75467,830967,DET,TD-0950,False Start,1,5,A
75468,830968,ARI,CJ-2050,Defensive Offside,4,5,A
75469,830980,DET,GG-0342,Offensive Holding,2,10,A
75470,830984,ARI,DG-0450,Running Into the Kicker,6,0,D
75471,830988,DET,DV-0525,Offensive Holding,2,10,A
75472,830990,DET,TD-0950,Offensive Holding,2,9,A
75473,831011,DET,TD-0950,False Start,1,5,A
75474,831017,ARI,KJ-0537,False Start,1,5,A
75475,831019,ARI,,Illegal Formation,3,5,A
75476,831020,DET,JC-3518,Defensive Holding,5,0,D
75477,831035,ARI,DB-6375,Illegal Motion,3,5,A
75478,831037,DET,RM-3850,Illegal Contact,5,5,A
75479,831061,DET,TF-0750,Face Mask,6,5,A
75480,831068,DET,TD-0950,Offensive Holding,2,0,D
75481,831069,DET,CM-2656,Unsportsmanlike Conduct,6,0,D
75482,831085,DET,CA-0750,Offensive Holding,2,0,D
75483,831103,DET,,Delay of Game,3,5,A
75484,831118,DAL,MC-2150,Unnecessary Roughness,6,2,A
75485,831130,DAL,ZM-0050,Offensive Holding,2,10,A
75486,831140,NYG,EM-0200,Intentional Grounding,3,10,A
75487,831148,DAL,ZM-0050,Tripping,7,10,A
75488,831156,NYG,MR-0645,False Start,1,5,A
75489,831165,DAL,EE-0250,Offensive Holding,2,10,A
75490,831166,NYG,TD-0475,Defensive Holding,5,5,A
75491,831169,DAL,AC-2350,Illegal Shift,3,5,A
75492,831172,NYG,MG-0925,Defensive Offside,4,5,A
75493,831187,NYG,MT-0850,Offensive Holding,2,10,A
75494,831202,NYG,AH-0762,Illegal Contact,5,0,D
75495,831226,NYG,CL-0275,Offensive Pass Interference,2,10,A
75496,831230,NYG,CC-4450,Fair Catch Interference,6,15,A
75497,831240,NYG,WH-0637,Offensive Holding,2,10,A
75498,831245,DAL,XS-0100,Offensive Holding,2,10,A
75499,831245,DAL,TP-1650,Lowering the Head to Initiate Contact,8,0,D
75500,831276,SF,KJ-1400,Offensive Pass Interference,2,10,A
75501,831282,SF,RS-1000,Defensive Pass Interference,5,16,A
75502,831287,SF,RS-1000,Defensive Holding,5,5,A
75503,831290,TB,JW-5650,False Start,1,5,A
75504,831304,SF,KA-0625,Disqualification,6,15,A
75505,831308,TB,DD-2300,Offensive Holding,2,10,A
75506,831313,TB,DD-2300,Offensive Holding,2,10,A
75507,831319,SF,WR-0450,Illegal Block Above the Waist,7,10,A
75508,831323,TB,CD-0687,Illegal Use of Hands,5,0,D
75509,831327,TB,CD-0687,Defensive Holding,5,5,A
75510,831330,TB,VH-0050,Defensive Pass Interference,5,9,A
75511,831331,SF,RJ-0450,Offensive Holding,2,10,A
75512,831333,SF,MM-2565,Illegal Formation,3,5,A
75513,831352,TB,CD-0687,Defensive Pass Interference,5,23,A
75514,831368,SF,NB-0350,Defensive Offside,4,0,D
75515,831371,SF,RS-1000,Defensive Holding,5,0,D
75516,831387,TB,AM-0750,Offensive Holding,2,0,D
75517,831387,TB,JW-5650,Intentional Grounding,3,10,A
75518,831390,SF,DJ-2150,Neutral Zone,4,2,A
75519,831395,SF,DS-0150,False Start,1,5,A
75520,831398,SF,MM-2565,Offensive Holding,2,4,A
75521,831402,SF,ST-0525,Defensive Offside,4,5,A
75522,831412,TB,DS-4300,Lowering the Head to Initiate Contact,8,15,A
75523,831449,NE,RI-0500,Offensive Pass Interference,2,10,A
75524,831458,PIT,AV-0350,Offensive Holding,2,10,A
75525,831460,PIT,DM-2775,False Start,1,5,A
75526,831484,NE,JB-3125,Defensive Holding,5,5,A
75527,831522,NE,SG-0650,Defensive Holding,5,5,A
75528,831536,PIT,DJ-1675,Offensive Pass Interference,2,10,A
75529,831537,NE,SC-0025,Defensive Offside,4,5,A
75530,831559,PIT,AV-0350,Offensive Holding,2,0,D
75531,831565,NE,IW-0400,Offensive Holding,2,10,A
75532,831567,PIT,BD-1200,Defensive Pass Interference,5,9,A
75533,831570,NE,SM-0850,Offensive Holding,2,10,A
75534,831577,PIT,,False Start,1,5,A
75535,831581,NE,JJ-0050,Defensive Pass Interference,5,10,A
75536,831587,PIT,DD-0750,Unnecessary Roughness,6,15,A
75537,831599,HOU,DF-0550,False Start,1,5,A
75538,831603,NO,JH-1150,Illegal Block Above the Waist,7,10,A
75539,831625,HOU,SH-0650,Offensive Holding,2,10,A
75540,831655,NO,PW-0850,Defensive Holding,5,5,A
75541,831657,HOU,JA-0462,Offensive Holding,2,10,A
75542,831659,NO,CJ-2400,Defensive Offside,4,5,A
75543,831661,HOU,LT-0950,False Start,1,5,A
75544,831666,NO,,Illegal Formation,3,0,D
75545,831690,NO,ML-2250,Defensive Offside,4,5,A
75546,831705,HOU,AB-1925,Unnecessary Roughness,6,15,A
75547,831709,HOU,DH-3950,Unnecessary Roughness,6,15,A
75548,831717,NO,DD-0250,Defensive Holding,5,0,D
75549,831721,HOU,SH-0650,Offensive Holding,2,0,D
75550,831722,HOU,,Illegal Formation,3,5,A
75551,831724,NO,RR-0122,Offensive Holding,2,10,A
75552,831732,HOU,DJ-1850,False Start,1,4,A
