gid,pid,off,def,type,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,fd,sg,nh,pts,tck,sk,pen,ints,fum,saf,blk,eps,epa
5058,829298,GB,CHI,PUNT,0,11,2,14,54,0,3,3,2,4,9,29,2,0,0,0,0,0,0,0,0,0,0,0,-1.09,0.1
5058,829299,GB,CHI,PASS,1,35,2,14,43,0,3,2,2,1,10,26,2,1,0,0,0,1,0,0,0,0,0,0,0.99,2.9
5058,829300,GB,CHI,PASS,2,24,2,14,8,0,3,2,2,1,10,73,4,0,0,0,0,1,0,0,0,0,0,0,3.89,0.36
5058,829301,GB,CHI,PASS,3,29,2,13,44,0,3,2,2,2,1,82,5,1,0,0,0,1,0,0,0,0,0,0,4.25,0.82
5058,829302,GB,CHI,PASS,4,7,2,13,15,0,3,2,2,1,8,92,5,1,0,0,7,0,0,1,0,0,0,0,5.07,1.93
5058,829303,GB,CHI,FGXP,4,3,2,13,8,7,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5058,829304,CHI,GB,KOFF,0,6,2,13,8,3,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5058,829305,CHI,GB,PASS,1,30,2,13,8,3,7,2,2,1,10,25,2,1,1,0,0,1,0,0,0,0,0,0,0.88,1.94
5058,829306,CHI,GB,PASS,2,5,2,12,24,3,7,2,2,1,10,52,3,0,1,0,0,0,0,0,0,0,0,0,2.82,-0.64
5058,829307,CHI,GB,PASS,3,43,2,12,19,3,7,2,2,2,10,52,3,0,1,0,0,1,0,0,0,0,0,0,2.18,0.87
5058,829308,CHI,GB,RUSH,4,16,2,11,36,3,7,2,2,3,1,61,4,0,0,0,0,1,0,1,0,0,0,0,3.05,-2
5058,829309,GB,CHI,PUNT,0,10,2,11,20,7,3,2,2,4,3,59,3,0,0,0,0,0,0,0,0,0,0,0,1.05,-0.32
5058,829310,GB,CHI,PASS,1,40,2,11,10,7,3,2,2,1,10,4,1,0,0,0,0,1,0,0,0,0,0,0,-0.73,0.64
5058,829311,GB,CHI,PASS,2,44,2,10,30,7,3,2,2,2,1,13,1,1,0,0,0,1,0,0,0,0,0,0,-0.09,0.11
5058,829312,GB,CHI,RUSH,3,40,2,9,46,7,3,2,2,1,10,14,1,0,0,0,0,1,0,0,0,0,0,0,0.02,0.07
5058,829313,GB,CHI,RUSH,4,46,2,9,6,7,3,2,2,2,5,19,1,0,0,0,0,1,0,0,0,0,0,0,0.09,-0.69
5058,829314,GB,CHI,PASS,5,38,2,8,20,7,3,2,2,3,5,19,1,1,1,0,0,1,0,0,0,0,0,0,-0.6,1.89
5058,829315,GB,CHI,PASS,6,39,2,7,42,7,3,2,2,1,10,30,2,0,1,0,0,1,0,0,0,0,0,0,1.29,0.03
5058,829316,GB,CHI,RUSH,7,44,2,7,3,7,3,2,2,2,5,35,2,0,1,0,0,1,0,0,0,0,0,0,1.32,-0.84
5058,829317,GB,CHI,PASS,8,42,2,6,19,7,3,2,2,3,6,34,2,0,1,0,0,0,1,0,0,0,0,0,0.48,-1.97
5058,829318,CHI,GB,PUNT,0,12,2,5,37,3,7,2,2,4,14,26,2,0,0,0,0,0,0,0,0,0,0,0,-1.49,1.71
5058,829319,CHI,GB,PASS,1,25,2,5,25,3,7,2,2,1,10,11,1,0,1,0,0,1,0,0,0,0,0,0,-0.22,0.7
5058,829320,CHI,GB,PASS,2,41,2,5,0,3,7,2,2,2,1,20,1,1,1,0,0,1,0,0,0,0,0,0,0.48,0.58
5058,829321,CHI,GB,NOPL,2,33,2,4,19,3,7,2,2,1,10,27,2,0,0,0,0,0,0,1,0,0,0,0,1.06,-1.3
5058,829322,CHI,GB,PASS,3,46,2,3,46,3,7,2,2,1,20,17,1,0,1,0,0,0,1,0,0,0,0,0,-0.24,-0.64
5058,829323,CHI,GB,PASS,4,41,2,3,0,3,7,2,2,2,21,16,1,0,1,0,0,1,0,0,0,0,0,0,-0.88,0.13
5058,829324,CHI,GB,PASS,5,5,2,2,19,3,7,2,2,3,14,23,2,0,1,0,0,0,0,0,0,0,0,0,-0.75,-0.93
5058,829325,GB,CHI,PUNT,0,7,2,2,14,7,3,2,2,4,14,23,2,0,0,0,0,0,0,0,0,0,0,0,-1.68,0.02
5058,829326,GB,CHI,RUSH,1,7,2,2,7,7,3,2,2,1,10,35,2,0,1,0,0,1,0,0,0,0,0,0,1.66,-0.22
5058,829327,GB,CHI,PASS,2,6,2,2,0,7,3,2,2,2,7,38,2,0,1,0,0,0,0,0,0,0,0,0,1.44,-0.71
5058,829328,GB,CHI,PASS,3,27,2,1,54,7,3,2,2,3,7,38,2,1,1,0,0,1,0,0,0,0,0,0,0.73,1.84
5058,829329,GB,CHI,PASS,4,23,2,1,27,7,3,2,2,1,10,48,3,0,1,1,0,1,0,0,0,0,0,0,2.57,0.14
5058,829330,GB,CHI,PASS,5,4,2,1,4,7,3,2,2,2,4,54,3,0,1,0,0,0,0,0,0,0,0,0,2.71,-0.57
5058,829331,GB,CHI,PASS,6,5,2,1,0,7,3,2,2,3,4,54,3,0,1,0,0,0,0,0,0,0,0,0,2.14,-1.51
5058,829332,GB,CHI,NOPL,6,20,2,0,55,7,3,2,2,4,4,54,3,0,0,0,0,0,0,1,0,0,0,0,0.63,-0.45
5058,829333,CHI,GB,PUNT,0,10,2,0,55,3,7,2,2,4,9,49,3,0,0,0,0,0,0,0,0,0,0,0,0.18,-0.28
5058,829334,CHI,GB,PASS,1,5,2,0,43,3,7,2,2,1,10,15,1,0,1,0,0,1,0,0,0,0,0,0,0.1,-0.19
5058,829335,CHI,GB,PASS,2,7,2,0,38,3,7,2,2,2,7,18,1,0,1,0,0,0,1,0,0,0,0,0,-0.09,-0.96
5058,829336,CHI,GB,PASS,3,7,2,0,31,3,7,2,2,3,9,16,1,0,1,0,0,1,0,0,0,0,0,0,-1.05,-0.9
5058,829337,GB,CHI,PUNT,0,9,2,0,24,7,3,1,2,4,10,15,1,0,0,0,0,0,0,0,0,0,0,0,-1.95,0.44
5058,829338,GB,CHI,PASS,1,6,2,0,15,7,3,1,2,1,10,33,2,1,1,0,0,1,0,0,0,0,0,0,1.51,1.13
5058,829339,GB,CHI,PASS,2,20,2,0,9,7,3,0,2,1,10,49,3,0,1,0,0,0,0,0,0,0,0,0,2.64,0
5058,829340,CHI,GB,KOFF,0,6,3,15,0,3,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5058,829341,CHI,GB,RUSH,1,35,3,15,0,3,7,3,3,1,10,25,2,0,0,0,0,1,0,0,0,0,0,0,0.88,-0.62
5058,829342,CHI,GB,PASS,2,6,3,14,21,3,7,3,3,2,10,25,2,0,1,0,0,0,0,0,0,0,0,0,0.26,-0.62
5058,829343,CHI,GB,PASS,3,25,3,14,15,3,7,3,3,3,10,25,2,0,1,0,0,1,0,0,0,0,0,0,-0.36,-0.84
5058,829344,GB,CHI,PUNT,0,8,3,13,50,7,3,3,3,4,8,27,2,0,0,0,0,0,0,0,0,0,0,0,-1.2,-0.39
5058,829345,GB,CHI,RUSH,1,25,3,13,42,7,3,3,3,1,10,34,2,0,0,0,0,1,0,0,0,0,0,0,1.59,-0.22
