gid,pid,detail,off,def,type,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,yds,succ,fd,sg,nh,pts,bc,kne,dir,rtck1,rtck2,psr,comp,spk,loc,trg,dfb,ptck1,ptck2,sk1,sk2,ptm1,pen1,desc1,cat1,pey1,act1,ptm2,pen2,desc2,cat2,pey2,act2,ptm3,pen3,desc3,cat3,pey3,act3,ints,iry,fum,frcv,fry,forc,fuml,saf,blk,brcv,fgxp,fkicker,dist,good,punter,pgro,pnet,ptb,pr,pry,pfc,kicker,kgro,knet,ktb,kr,kry,eps,epa
5058,829275,(9:39) (Shotgun) A.Rodgers pass incomplete short right to J.Graham.,GB,CHI,PASS,1,6,1,9,39,0,0,3,3,1,10,12,1,,,,Y,,,,,,,,AR-1300,,,SR,JG-2900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.14,-0.6
5058,829276,(9:33) A.Jones right tackle to GB 12 for no gain (K.Mack).,GB,CHI,RUSH,2,42,1,9,33,0,0,3,3,2,10,12,1,0,,,,,,AJ-1143,,RT,KM-0050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.74,-0.61
5058,829277,(8:51) (Shotgun) A.Rodgers sacked at GB 5 for -7 yards (L.Floyd).,GB,CHI,PASS,3,47,1,8,51,0,0,3,3,3,10,12,1,-7,,,Y,,,,,,,,AR-1300,,,,,,,,LF-0450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.35,-1.83
5058,829278,"(8:04) (Punt formation) J.Scott punts 42 yards to GB 47, Center-H.Bradley. T.Cohen to GB 41 for 6 yards (T.Summers; K.Fackrell). PENALTY on GB-T.Brown, Player Out of Bounds on Kick, 5 yards, enforced at GB 41.",CHI,GB,PUNT,0,11,1,8,4,0,0,3,3,4,17,5,1,,,,,,,,,,,,,,,,,,,,,,GB,TB-3150,Player Out of Bounds on Kick,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,JS-1250,42,36,,TC-1975,6,,,,,,,,-3.18,-0.31
5058,829279,(7:53) (Shotgun) D.Montgomery left guard to GB 32 for 4 yards (K.King).,CHI,GB,RUSH,1,41,1,7,53,0,0,3,3,1,10,64,4,4,Y,,Y,,,DM-2787,,LG,KK-0750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.49,-0.1
5058,829280,(7:12) (Shotgun) D.Montgomery left guard to GB 26 for 6 yards (Z.Smith).,CHI,GB,RUSH,2,64,1,7,12,0,0,3,3,2,6,68,4,6,Y,Y,Y,,,DM-2787,,LG,ZS-0075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.39,0.54
5058,829281,(6:08) (Shotgun) D.Montgomery left guard to GB 25 for 1 yard (K.Clark; P.Smith).,CHI,GB,RUSH,3,45,1,6,8,0,0,3,3,1,10,74,4,1,,,Y,,,DM-2787,,LG,KC-1225,PS-0550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.93,-0.44
5058,829282,(5:23) M.Davis left tackle to GB 21 for 4 yards (D.Lowry).,CHI,GB,RUSH,4,42,1,5,23,0,0,3,3,2,9,75,4,4,,,,,,MD-0150,,LT,DL-2325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.49,-0.18
5058,829283,(4:41) (Shotgun) M.Trubisky pass short right to T.Cohen pushed ob at GB 20 for 1 yard (J.Alexander).,CHI,GB,PASS,5,27,1,4,41,0,0,3,3,3,5,79,4,1,,,Y,,,,,,,,MT-1800,Y,,SR,TC-1975,,JA-0475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.31,-0.93
5058,829284,"(4:14) E.Pineiro 38 yard field goal is GOOD, Center-P.Scales, Holder-P.O'Donnell.",CHI,GB,FGXP,6,5,1,4,14,0,0,3,3,4,4,80,5,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FG,EP-0512,38,Y,,,,,,,,,,,,,,2.38,0.62
